Sample #,# of round-trip trades ,total return % ,winning trades % ,average losing amount ,kelly criterion ,t-statistic ,max drawdown ,mean ,max ,min ,wtd% ,mtd% ,qtd% ,ytd% ,52wk %chg
438,10,2.71,60%,-2.6475,0.751086,0.246863,38.319,50.9383,72.7621,30.5563,1.07038,1.0804,0.883637,1.03862,0.535293
439,13,-1.9,46.1538%,-1.84429,0.753501,-0.229834,32.9376,68.6292,95.8155,48.8262,1.03208,1.14096,1.15348,1.0231,0.79251
440,11,-16.46,27.2727%,-3.25,0.496503,-1.32536,47.2201,46.4402,71.4121,22.3604,0.979797,1.00348,0.876681,1.01712,0.497873
441,7,-1.39,57.1429%,-2.43,0.747795,-0.224191,14.3027,45.0859,68.3575,26.3295,1.03429,1.18117,1.42208,1.24204,1.37873
442,10,2.3,40%,-3.85833,0.555508,0.11721,9.85941,92.9827,158.806,58.3637,0.980325,0.967003,1.23158,1.06041,1.39895
443,9,14.92,77.7778%,-0.779999,1.06268,1.9506,51.9058,39.5495,71.277,18.1314,0.979934,1.03453,0.986988,1.00284,0.554975
444,14,11.18,50%,-2.17714,0.729659,0.794053,37.4465,47.8786,72.8538,30.5377,0.954808,1.05139,0.940816,0.903287,0.776209
445,9,7.02999,66.6667%,-3.41334,0.764323,0.629286,40.586,52.2034,68.4897,25.6794,0.97114,0.903343,0.689239,0.78238,0.495345
446,8,11.8,62.5%,-1.87333,0.825178,1.22042,53.0115,38.8413,74.8222,21.0475,1.02372,0.890991,0.806414,0.801712,0.611476
447,8,11.6,50%,-3.5125,0.642349,0.66297,17.8739,102.693,146.704,67.7086,0.970113,0.938643,1.11983,0.998544,1.6292
448,15,-5.40001,46.6667%,-3.01375,0.643633,-0.348699,57.5337,81.0317,115.291,56.786,0.990739,0.961795,0.733892,0.91526,0.724376
449,7,0.390003,28.5714%,-1.578,0.738367,0.052825,23.2564,55.9451,79.5859,39.1795,0.994048,0.776588,1.03722,0.95005,1.32142
450,16,36,68.75%,-1.224,0.94281,1.79797,38.6207,54.5383,76.5322,34.8391,0.973494,0.952402,0.994612,0.954588,0.734488
451,14,24.46,64.2857%,-4.114,0.729669,1.21113,11.4744,69.1195,96.8568,51.1391,1.04506,1.01571,0.941089,1.09486,1.2111
452,9,5.86,55.5556%,-3.3875,0.686757,0.478521,3.20287,73.846,96.4215,47.0266,1.00751,1.08598,1.12154,1.11546,1.17219
453,9,14.45,44.4444%,-1.242,0.891751,1.06416,43.5313,43.9863,74.1939,30.2852,0.971242,0.936223,0.903505,0.8704,0.703695
